Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday,,,,,,,,,,,,,,,
19/4/2014,2014,4,19,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
20/4/2014,2014,4,20,Sunday,Easter Sunday,,,,,,,,1,1,FALSE,,,,,,,,,,,,,,,
21/4/2014,2014,4,21,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2014,2014,4,25,Friday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
5/5/2014,2014,5,5,Monday,May Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
2/6/2014,2014,6,2,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
9/6/2014,2014,6,9,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE,,,,,,,,,,,,,,,
5/8/2014,2014,8,5,Tuesday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
13/8/2014,2014,8,13,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
29/9/2014,2014,9,29,Monday,Queen's Birthday & Family and Community Day,,,1,,,,1,,2,FALSE,,,,,,,,,,,,,,,
6/10/2014,2014,10,6,Monday,Labour Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
23/10/2014,2014,10,23,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
4/11/2014,2014,11,4,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
14/11/2014,2014,11,14,Friday,G20 Leaders' Summit Pulic Holiday,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2014,2014,12,25,Thursday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/12/2014,2014,12,26,Friday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2015,2015,1,1,Thursday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/1/2015,2015,1,26,Monday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
9/2/2015,2015,2,9,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
2/3/2015,2015,3,2,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
9/3/2015,2015,3,9,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
3/4/2015,2015,4,3,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
4/4/2015,2015,4,4,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
5/4/2015,2015,4,5,Sunday,Easter Sunday,,,,,,1,,1,2,FALSE,,,,,,,,,,,,,,,
6/4/2015,2015,4,6,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2015,2015,4,25,Saturday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
27/4/2015,2015,4,27,Monday,ANZAC Day Observance,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
4/5/2015,2015,5,4,Monday,May Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
1/6/2015,2015,6,1,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
8/6/2015,2015,6,8,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE,,,,,,,,,,,,,,,
3/8/2015,2015,8,3,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
12/8/2015,2015,8,12,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
28/9/2015,2015,9,28,Monday,Queen's Birthday & Family and Community Day,,,1,,,,1,,2,FALSE,,,,,,,,,,,,,,,
2/10/2015,2015,10,2,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
5/10/2015,2015,10,5,Monday,Labour Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
22/10/2015,2015,10,22,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
3/11/2015,2015,11,3,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2015,2015,12,25,Friday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/12/2015,2015,12,26,Saturday,Boxing Day & Proclamation Day,,1,1,,,1,1,1,5,FALSE,,,,,,,,,,,,,,,
28/12/2015,2015,12,28,Monday,Boxing Day Observance,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2016,2016,1,1,Friday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/1/2016,2016,1,26,Tuesday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
8/2/2016,2016,2,8,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
7/3/2016,2016,3,7,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
14/3/2016,2016,3,14,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
25/3/2016,2016,3,25,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/3/2016,2016,3,26,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
27/3/2016,2016,3,27,Sunday,Easter Sunday,,,1,,,1,,1,3,FALSE,,,,,,,,,,,,,,,
28/3/2016,2016,3,28,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2016,2016,4,25,Monday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
2/5/2016,2016,5,2,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
6/6/2016,2016,6,6,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
13/6/2016,2016,6,13,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE,,,,,,,,,,,,,,,
1/8/2016,2016,8,1,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
10/8/2016,2016,8,10,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
26/9/2016,2016,9,26,Monday,Queen's Birthday & Family and Community Day,,,1,,,,1,,2,FALSE,,,,,,,,,,,,,,,
30/9/2016,2016,9,30,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
3/10/2016,2016,10,3,Monday,Labour Day & Queen's Birthday,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
20/10/2016,2016,10,20,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
1/11/2016,2016,11,1,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2016,2016,12,25,Sunday,Christmas Day,,1,1,,1,,1,1,5,FALSE,,,,,,,,,,,,,,,
26/12/2016,2016,12,26,Monday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
27/12/2016,2016,12,27,Tuesday,Additional Public Holiday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2017,2017,1,1,Sunday,New Year's Day,,1,1,1,,1,1,1,6,FALSE,,,,,,,,,,,,,,,
2/1/2017,2017,1,2,Monday,New Year's Day Observance,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/1/2017,2017,1,26,Thursday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
13/2/2017,2017,2,13,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
6/3/2017,2017,3,6,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
13/3/2017,2017,3,13,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
14/4/2017,2017,4,14,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
15/4/2017,2017,4,15,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
16/4/2017,2017,4,16,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE,,,,,,,,,,,,,,,
17/4/2017,2017,4,17,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2017,2017,4,25,Tuesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/5/2017,2017,5,1,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
5/6/2017,2017,6,5,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
12/6/2017,2017,6,12,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE,,,,,,,,,,,,,,,
7/8/2017,2017,8,7,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
16/8/2017,2017,8,16,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
25/9/2017,2017,9,25,Monday,Queen's Birthday & Family and Community Day,,,1,,,,1,,2,FALSE,,,,,,,,,,,,,,,
29/9/2017,2017,9,29,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
2/10/2017,2017,10,2,Monday,Queen's Birthday & Labour Day & Family and Community Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
26/10/2017,2017,10,26,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
7/11/2017,2017,11,7,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2017,2017,12,25,Monday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/12/2017,2017,12,26,Tuesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2018,2018,1,1,Monday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/1/2018,2018,1,26,Friday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
12/2/2018,2018,2,12,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
5/3/2018,2018,3,5,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
12/3/2018,2018,3,12,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
30/3/2018,2018,3,30,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
31/3/2018,2018,3,31,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
1/4/2018,2018,4,1,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE,,,,,,,,,,,,,,,
2/4/2018,2018,4,2,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2018,2018,4,25,Wednesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
7/5/2018,2018,5,7,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
28/5/2018,2018,5,28,Monday,Reconciliation Day,,,1,,,,,,1,FALSE,,,,,,,,,,,,,,,
4/6/2018,2018,6,4,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
11/6/2018,2018,6,11,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE,,,,,,,,,,,,,,,
6/8/2018,2018,8,6,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
15/8/2018,2018,8,15,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
24/9/2018,2018,9,24,Monday,Queen's Birthday,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
28/9/2018,2018,9,28,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
1/10/2018,2018,10,1,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
25/10/2018,2018,10,25,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
6/11/2018,2018,11,6,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2018,2018,12,25,Tuesday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/12/2018,2018,12,26,Wednesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2019,2019,1,1,Tuesday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/1/2019,2019,1,26,Saturday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
11/2/2019,2019,2,11,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
4/3/2019,2019,3,4,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
11/3/2019,2019,3,11,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
19/4/2019,2019,4,19,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
20/4/2019,2019,4,20,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
21/4/2019,2019,4,21,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE,,,,,,,,,,,,,,,
22/4/2019,2019,4,22,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2019,2019,4,25,Thursday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
6/5/2019,2019,5,6,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
27/5/2019,2019,5,27,Monday,Reconciliation Day,,,1,,,,,,1,FALSE,,,,,,,,,,,,,,,
3/6/2019,2019,6,3,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
10/6/2019,2019,6,10,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE,,,,,,,,,,,,,,,
5/8/2019,2019,8,5,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
15/8/2019,2019,8,15,Thursday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
27/9/2019,2019,9,27,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
30/9/2019,2019,9,30,Monday,Queen's Birthday,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
7/10/2019,2019,10,7,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
24/10/2019,2019,10,24,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
5/11/2019,2019,11,5,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2019,2019,12,25,Wednesday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/12/2019,2019,12,26,Thursday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,Wednesday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
27/1/2020,2020,1,27,Monday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
10/2/2020,2020,2,10,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
2/3/2020,2020,3,2,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
9/3/2020,2020,3,9,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
10/4/2020,2020,4,10,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
11/4/2020,2020,4,11,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
12/4/2020,2020,4,12,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE,,,,,,,,,,,,,,,
13/4/2020,2020,4,13,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2020,2020,4,25,Saturday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
27/4/2020,2020,4,27,Monday,ANZAC Day Observance,,,1,,,,1,,2,FALSE,,,,,,,,,,,,,,,
4/5/2020,2020,5,4,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
1/6/2020,2020,6,1,Monday,Reconciliation Day,,,1,,,,,,1,FALSE,,,,,,,,,,,,,,,
1/6/2020,2020,6,1,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
8/6/2020,2020,6,8,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE,,,,,,,,,,,,,,,
3/8/2020,2020,8,3,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
14/8/2020,2020,8,14,Friday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
28/9/2020,2020,9,28,Monday,Queen's Birthday,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
5/10/2020,2020,10,5,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
22/10/2020,2020,10,22,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
23/10/2020,2020,10,23,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
3/11/2020,2020,11,3,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2020,2020,12,25,Friday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/12/2020,2020,12,26,Saturday,Boxing Day & Proclamation Day,,1,1,1,,1,1,1,6,FALSE,,,,,,,,,,,,,,,
28/12/2020,2020,12,28,Monday,Boxing Day Observance,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2021,2021,1,1,Friday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/1/2021,2021,1,26,Tuesday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
8/2/2021,2021,2,8,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
1/3/2021,2021,3,1,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
8/3/2021,2021,3,8,Monday,"Canberra Day, Eight Hours Day, Labour Day & March Public Holiday",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
2/4/2021,2021,4,2,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
3/4/2021,2021,4,3,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
4/4/2021,2021,4,4,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE,,,,,,,,,,,,,,,
5/4/2021,2021,4,5,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2021,2021,4,25,Sunday,ANZAC Day,,,1,,1,1,1,1,5,FALSE,,,,,,,,,,,,,,,
26/4/2021,2021,4,26,Monday,ANZAC Day Observance,1,1,1,1,,,1,,5,FALSE,,,,,,,,,,,,,,,
3/5/2021,2021,5,3,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
31/5/2021,2021,5,31,Monday,Reconciliation Day,,,1,,,,,,1,FALSE,,,,,,,,,,,,,,,
7/6/2021,2021,6,7,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
